PRODUCT_ID,PRODUCT_NAME,<-- Product Family -->,<-- Product,<-- Product Line
01t3Z000005VufCQAS,Conga Approvals,,Conga Approvals,Conga Approvals
01t3Z0000057dzJQAQ,Contract Request Portal - Review & Approvals,,Conga Approvals,Conga Approvals
01t3Z0000057dyVQAQ,Billing for CPQ User,,Conga Billing,Conga Billing
01t3Z0000057dU7QAI,Billing Module (<100k invoices),,Conga Billing,Conga Billing
01t3Z0000057dUGQAY,Billing Portal - Pooled Users,,Conga Billing,Conga Billing
01t50000005Aa6vAAC,Conga Invoice Automation for Salesforce Billing,,Conga Billing,Conga Billing
01t50000003tskJAAQ,Quickstart for Conga Invoicing for Salesforce Billing,,Conga Billing,Conga Billing
01t50000005AtP5AAK,Accelerate - Conga Contracts for Salesforce - Business,,Conga CLM,Conga CLM
01t50000005AtPAAA0,Accelerate - Conga Contracts for Salesforce - Enterprise,,Conga CLM,Conga CLM
01t500000046ISuAAM,Accelerate for Conga Contracts for Salesforce CPQ,,Conga CLM,Conga CLM
01t500000046ISzAAM,Accelerate for Conga Contracts Negotiator,,Conga CLM,Conga CLM
01t3Z000004bMzJQAU,CLM Accelerator  Legacy Data Migration - Add On,,Conga CLM,Conga CLM
01t3Z000004bhrHQAQ,CLM Accelerator Approvals Workflow - Add On,,Conga CLM,Conga CLM
01t3Z000004bMzEQAU,CLM Accelerator- for Clinical Research,,Conga CLM,Conga CLM
01t3Z000005VufMQAS,CLM Business Accelerator,,Conga CLM,Conga CLM
01t3Z000005VufOQAS,CLM Contract Generator CFS Data Migration - Add On,,Conga CLM,Conga CLM
01t3Z000005VufNQAS,CLM Contract Generator Salesforce Environments Migration- Add On,,Conga CLM,Conga CLM
01t3Z000005VufLQAS,CLM Enterprise Accelerator,,Conga CLM,Conga CLM
01t3Z0000057dUYQAY,CLM Enterprise Admin,,Conga CLM,Conga CLM
01t3Z0000057dUAQAY,CLM Enterprise Approver,,Conga CLM,Conga CLM
01t3Z0000057hmEQAQ,CLM Enterprise Collaborator,,Conga CLM,Conga CLM
01t3Z0000057hmOQAQ,CLM Enterprise Collaborator Lite,,Conga CLM,Conga CLM
01t3Z0000057dUXQAY,CLM Enterprise Lite,,Conga CLM,Conga CLM
01t3Z0000057dUWQAY,CLM Enterprise Read Only,,Conga CLM,Conga CLM
01t3Z0000057dTHQAY,CLM Enterprise Requestor,,Conga CLM,Conga CLM
01t3Z0000057dUVQAY,CLM Enterprise User,,Conga CLM,Conga CLM
01t3Z0000057dTwQAI,CLM Essentials Admin,,Conga CLM,Conga CLM
01t3Z0000057dUQQAY,CLM Essentials Approver,,Conga CLM,Conga CLM
01t3Z0000057hmTQAQ,CLM Essentials Collaborator,,Conga CLM,Conga CLM
01t3Z0000057dTxQAI,CLM Essentials Lite,,Conga CLM,Conga CLM
01t3Z0000057dTyQAI,CLM Essentials Read Only,,Conga CLM,Conga CLM
01t3Z0000057dTvQAI,CLM Essentials User,,Conga CLM,Conga CLM
01t3Z0000057dUJQAY,CLM for Partners - External Pooled Logins,,Conga CLM,Conga CLM
