PRODUCT,PRODUCT_LINE,PRODUCT_FAMILY
Conga CPQ,Conga CPQ,Commerce
Conga Digital Commerce,Conga Digital Commerce,Commerce
Conga CLM,Conga CLM,Contracts
Conga AI,Conga Contracts,Contracts
Conga Contracts,Conga Contracts,Contracts
Conga Contracts for Salesforce,Conga Contracts,Contracts
Conga Approvals,Conga Approvals,Data and Process Automation(Enablers)
Conga Courier,Conga Composer,Data and Process Automation(Enablers)
Conga Grid,Conga Grid,Data and Process Automation(Enablers)
Conga Orchestrate,Conga Orchestrate,Data and Process Automation(Enablers)
Harmony for Orion,Conga Orchestrate,Data and Process Automation(Enablers)
Orchestrate Related List Viewer,Conga Orchestrate,Data and Process Automation(Enablers)
Orion Connect Process Library,Conga Orchestrate,Data and Process Automation(Enablers)
Conga X-Author Enterprise,Conga X-Author Enterprise,Data and Process Automation(Enablers)
Mix,Mix,Data and Process Automation(Enablers)
Conga Collaborate,Conga Collaborate,Document Generation(DocGen)
Conga Composer,Conga Composer,Document Generation(DocGen)
Conga Sign,Conga Sign,Document Generation(DocGen)
Conga Automation,Conga Automation,Document Generation(DocGen)
Other,Other,Other
Promotions,Conga Promotions,Revenue
Pulse,Other,Other
Rebates,Other,Other
SRM,SRM,Contracts
VEO ProcessComposer Integration Package,Other,Other
Conga Billing,Conga Billing,Revenue
Conga Order Management,Conga Order Management,Revenue
Support,Support,Support
Professional Services,Professional Services,Professional Services
